Muestra,Roca,87Rb/86Sr,87Sr/86Sr,147Sm/144Nd,143Nd/144Nd,Edad (Ma)
PV12-10A,Granito,5.637,0.7109,0.135,0.5126,90
PV12-12,Granodiorita,0.811,0.70577,0.143,0.51253,90
PV12-11A,Granito,1.149,0.70575,0.125,0.51264,90
PV12-16A,Cuarzo-monzodiorita,0.271,0.70451,0.113,0.51268,90
PV13-04A,Granito,0.449,0.70565,0.080,0.51248,90
PV13-06,Ortogneis,1.274,0.7114,0.111,0.51232,130
PV13-08,Granito,1.446,0.70901,0.110,0.51241,90
PV13-11,Ortogneis,0.637,0.71044,0.097,0.51226,130
PV13-14,Paragneis,4.368,0.7334,0.112,0.51207,160
PV13-17,Granito porfídico,8.229,0.71554,0.145,0.5125,90
PV13-18,Granodiorita,0.82,0.70838,0.119,0.5124,90
PV13-19,Granito,0.242,0.70441,0.081,0.51267,90
PVF-1515A,Ortogneis,0.035,0.703663,0.111,0.512854,130
PVF-1705,Paragneis,2.97,0.72236,0.119,0.51223,160
PVF-1708,Paragneis,4.511,0.724311,0.129,0.512112,160
PVF-1711,Paragneis,1.3,0.714368,0.123,0.512222,160
PVF-1712,Paragneis,1.478,0.713638,0.124,0.512254,160
PV-I,Granito,4.845,0.711797,0.132,0.512432,90
MS 2A,Granito,1.868,0.707603,0.127,0.512495,90
MS 2B,Granito,1.118,0.70659,0.114,0.512492,90
PV-II,Granodiorita,0.556,0.706045,0.129,0.512483,90
MS 3,Tonalita,0.508,0.70603,0.087,0.512524,90
MS 4,Granodiorita,0.801,0.705699,0.090,0.512597,90
A 85,Granodiorita,0.896,0.705813,0.095,0.512544,90
MS 5,Granito,1.757,0.706776,0.102,0.512655,90
MS 7A,Granito,1.149,0.705975,0.104,0.512653,90
MS 8,Tonalita,0.183,0.704292,0.108,0.512734,90
A 73,Granito,1.249,0.706023,0.107,0.512598,90
A 72,Granodiorita,0.572,0.705042,0.107,0.512638,90
A 70,Granito,0.866,0.705376,0.098,0.512575,90
MS 17II,Granito,1.638,0.7065,0.096,0.512678,90
MS 75,Granito,0.846,0.705365,0.096,0.512601,90
MS 58,Granodiorita,1.729,0.714466,0.121,0.512267,90
MS 62,Granito,3.671,0.717849,0.129,0.512227,90
MS 65,Granodiorita,0.746,0.705353,0.101,0.512571,90
MS 13,Tonalita,0.158,0.704231,0.112,0.512688,90
MS 16 B,Tonalita,0.145,0.704125,0.116,0.512749,90
MS 55,Tonalita,0.122,0.704153,0.116,0.512691,90
MS 56,Tonalita,0.273,0.704253,0.115,0.51271,90
ROG13-1,Ortogneis,0.298,0.705235,0.112,0.512784,130
ROG13-2C,Paragneis,0.378,0.72406,0.108,0.512119,160
ROG13-4,Paragneis,2.67,0.718318,0.123,0.512258,160
ROG13-7,Paragneis,4.751,0.728654,0.115,0.512086,160
ROG13-18A,Ortogneis,0.25,0.704813,0.135,0.512685,130
ROG13-9A,Paragneis,0.479,0.706355,0.127,0.512456,160
ROG13-11B,Ortogneis,0.022,0.703877,0.127,0.512769,130
ROG13-13,Granodiorita,0.404,0.705815,0.097,0.512484,90
ROG13-16,Granodiorita,0.426,0.704721,0.118,0.512697,90
ROG13-17,Paragneis,0.941,0.714149,0.110,0.512215,160
ROG13-20A,Ortogneis,2.625,0.714353,0.118,0.512331,130
ROG13-22,Granito,5.335,0.71589,0.116,0.512342,90
